teacher,subject,class,per_week_first,per_week_second
96,14,1,2,
96,14,0,2,
96,14,6,3,
95,14,2,3,
95,14,3,3,
95,14,4,3,
95,64,0,3,
95,64,1,3,
95,64,2,3,
28,52,13,2,2
28,52,14,2,2
28,52,15,2,2
43,47,10,2,2
43,47,10,3,
44,47,11,2,2
44,47,11,3,
48,47,12,2,2
48,47,12,3,
0,40,10,2,2
1,37,9,1,
1,38,9,1,
1,0,0,2,
1,83,0,2,
1,4,0,2,
3,75,5,2,0
3,24,5,2,
3,82,1,1,
3,10,1,2,
3,81,1,2,
3,80,1,2,
4,50,13,3,3
4,51,13,1,
4,25,5,2,2
4,26,5,1,
4,27,6,2,2
4,28,6,2,
5,75,6,2,0
5,24,6,2,
6,16,2,2,2
6,17,2,2,
6,15,2,3,3
6,15,3,3,3
7,27,5,2,2
7,27,7,2,2
7,28,5,2,
7,28,7,2,
7,29,6,3,3
7,30,6,2,
8,72,10,2,2
8,45,10,2,
9,72,12,2,2
9,45,12,2,
9,79,0,2,
9,3,0,2,
10,16,3,2,2
10,16,4,2,2
10,17,3,2,
10,17,4,2,
10,71,2,3,3
10,18,2,1,
11,54,14,2,2
11,55,14,2,
12,56,13,3,3
12,57,13,2,
12,70,4,2,2
12,33,4,1,
13,78,1,1,
13,77,1,2,
13,76,1,2,
13,12,1,2,
15,29,5,3,3
15,29,7,3,3
15,30,5,2,
15,30,7,2,
16,70,8,2,
16,33,8,1,
17,56,14,3,3
17,57,14,2,
18,19,2,2,2
18,19,3,2,2
18,19,4,2,2
18,20,2,1,
18,20,3,1,
18,20,4,1,
18,75,7,2,0
18,24,7,2,
20,25,6,2,2
20,25,7,2,2
20,26,6,1,
20,26,7,1,
21,46,10,2,
21,54,15,2,2
21,55,15,2,
22,56,15,3,3
22,57,15,2,
24,73,0,2,
24,5,0,1,
24,74,0,2,
24,6,0,1,
25,50,15,3,3
25,51,15,1,
26,72,11,2,2
26,45,11,2,
27,70,3,2,2
27,33,3,1,
29,15,4,3,3
30,41,5,2,2
30,41,6,2,2
30,41,7,2,2
31,71,3,3,3
31,71,4,3,3
31,18,3,1,
31,18,4,1,
32,40,12,2,2
34,9,1,3,
34,2,0,3,
34,50,14,3,3
34,51,14,1,
35,48,15,2,0
35,49,15,1,
36,46,12,2,
36,54,13,2,2
36,55,13,2,
37,34,8,3,
37,43,9,2,
37,44,9,2,
37,39,9,4,
38,70,2,2,2
38,33,2,1,
38,35,9,1,
38,36,9,1,
39,46,11,2,
39,68,8,2,
39,69,8,2,
39,43,11,2,2
39,43,12,2,2
39,44,11,2,
39,44,12,2,
40,43,10,2,2
40,44,10,2,
51,47,8,5,
51,47,9,5,
55,58,13,3,
53,58,1,3,
53,58,2,3,
55,58,8,3,
55,58,9,3,
59,58,12,3,
56,58,4,3,
56,58,7,3,
57,58,11,3,
57,58,14,3,
58,58,0,3,
59,58,3,3,
59,58,5,3,
59,58,6,3,
59,58,10,3,
59,58,15,3,
60,59,5,2,
61,59,8,2,
61,59,12,2,
61,59,14,2,
61,59,15,2,
62,59,1,2,
62,59,2,2,
62,59,3,2,
62,59,4,2,
62,59,9,2,
62,59,10,2,
62,59,11,2,
62,59,13,2,
64,59,0,2,
64,59,6,2,
64,59,7,2,
65,31,8,2,
65,31,11,2,
65,31,13,2,
65,31,14,2,
66,22,1,2,
66,22,2,2,
66,22,3,2,
66,22,4,2,
66,22,5,2,
66,22,6,2,
66,22,7,2,
74,64,9,3,
74,64,8,3,
74,23,5,3,
74,23,7,3,
77,64,3,3,
77,64,6,3,
78,64,4,3,
78,64,5,3,
78,64,7,3,
79,64,10,3,
79,64,11,3,
79,64,12,3,
79,64,13,3,
79,64,14,3,
79,64,15,3,
83,65,8,2,
83,65,8,2,
83,65,9,2,
83,65,9,2,
83,65,11,2,0
83,65,11,2,0
81,65,10,2,0
81,65,12,2,0
81,65,14,2,0
83,65,10,2,0
83,65,12,2,0
83,65,14,2,0
83,65,13,2,0
83,65,15,2,0
84,65,13,2,0
84,65,15,2,0
86,66,8,2,
86,66,10,2,
86,66,12,2,
86,66,14,2,
87,66,9,2,
87,66,11,2,
87,66,13,2,
87,66,15,2,
88,67,9,3,
88,67,10,3,
88,67,13,3,
90,67,5,3,
90,67,1,3,
90,67,2,3,
90,67,3,3,
91,67,0,3,
91,67,4,3,
92,67,11,3,
92,67,12,3,
92,67,14,3,
92,67,15,3,
93,67,8,3,
94,67,6,3,
94,67,7,3,
