name,kind
Autoelektronika,masinska
Engleski jezik u elektronici,regular
Projektovanje u elektronici i automatici,masinska
Proizvodnja elektronskih uredjaja i sistema,masinska
Sistemi industrijske elektronike i automatike,masinska
Elektronski komercijalni sistemi,masinska
Elektronski komercijalni uredjaji,masinska
Video tehnika,regular
Engleski jezik u elektronskim komunikacijama,regular
Projektovanje telekomunikacionih korisnickih sistema,computer
Opticki komunikacioni sistemi,regular
Bezicni komunikacioni sistemi,regular
Telekomunikacioni korisnicki sistemi II,regular
Komutacioni i data centri,regular
Engleski jezik u racunarstvu,regular
Projektovanje racunarskih mreza,masinska
Zastita racunarskih sistema i mreza (P),masinska
Zastita racunarskih sistema i mreza (T),regular
Instaliranje i odrzavanje racunarskih mreza,masinska
Aplikativni softver (P),computer
Aplikativni softver (T),regular
Multimedijalni servisi,regular
Poslovna kultura,regular
Engleski jezik u informacionim tehnologijama,regular
Upravljanje softverskim projektima,computer
Napredno front-end programiranje (P),computer
Napredno front-end programiranje (T),regular
Razvoj mobilnih aplikacija II (P),computer
Razvoj mobilnih aplikacija II (T),regular
Razvoj veb aplikacija II (P),computer
Razvoj veb aplikacija II (T),regular
Savremeno odrastanje,regular
Elektrotehnicki materijali,regular
Osnove programiranja,computer
Elektronske komunikacije,regular
Osnove proceduralnog programiranja (P),computer
Osnove proceduralnog programiranja (T),regular
Izvodjenje telekomunikacionih instalacija (P),masinska
Izvodjenje telekomunikacionih instalacija (T),regular
Elektronske komunikacije II,regular
Racunarska grafika i animacija,computer
Fotografija (P),computer
Fotografija (T),regular
Analogna i digitalna elektronika (P),computer
Analogna i digitalna elektronika (T),regular
Racunarski hardver,computer
Osnove racunarskih mreza,regular
Osnove elektrotehnike II,regular
Osnove racunarskog hardvera (P),computer
Osnove racunarskog hardvera (T),regular
Upravljanje bazama podataka (P),computer
Upravljanje bazama podataka (T),regular
Veb i mobilni dizajn (P),computer
Veb i mobilni dizajn (T),regular
Objektno-orijentisano programiranje (P),computer
Objektno-orijentisano programiranje (T),regular
Uvod u veb programiranje (P),computer
Uvod u veb programiranje (T),regular
CSBH,regular
Fizicko,sala
Sociologija,regular
Preduzetnistvo,regular
Geografija,regular
Hemija,regular
Engleski,regular
Informatika,computer
Fizika,regular
Matematika,regular
