teacher,subject,class,per_week_first,per_week_second
0,35,1,2,
0,34,1,2,0
1,91,12,1,
1,91,12,3,3
1,109,16,2,
1,109,16,2,2
1,109,12,2,
1,109,12,2,2
2,52,7,1,
2,51,7,3,3
2,116,0,4,
4,94,4,2,
4,94,4,2,2
4,85,14,1,
4,86,14,2,2
4,39,1,2,
4,38,1,3,3
5,114,18,2,
5,113,3,4,
5,112,10,4,4
5,110,3,3,
6,111,18,4,
7,104,12,2,
7,105,12,2,2
7,94,0,4,
7,41,17,2,
7,40,17,3,3
8,92,12,3,3
8,92,16,3,3
8,109,6,2,
8,109,6,2,2
9,40,17,3,3
9,41,17,2,
10,108,0,2,
10,107,3,4,
11,56,13,2,
11,55,13,2,2
11,35,17,2,
11,34,17,2,0
11,41,1,2,
11,40,1,3,3
12,58,13,2,
12,57,13,2,2
13,57,7,3,3
13,104,16,1,
13,105,16,2,2
13,58,7,2,
13,104,6,1,
13,105,6,2,2
14,117,5,4,0
15,37,1,1,
15,36,1,2,2
15,37,17,1,
15,36,17,2,2
16,85,12,1,
16,86,12,2,2
16,85,16,1,
16,86,16,2,2
16,56,2,2,
16,55,2,2,2
17,58,2,2,
17,57,2,2,2
18,98,18,1,
18,98,18,2,0
18,99,18,1,
18,99,18,2,0
19,51,3,2,
19,51,2,1,
19,51,2,2,2
20,96,18,2,0
20,96,18,2,
20,95,10,2,0
20,95,10,1,
20,95,8,2,
21,94,9,2,
21,94,9,2,2
22,73,5,3,
22,108,9,2,
22,108,4,2,
22,93,3,3,
23,53,2,2,2
23,53,7,2,2
23,53,13,2,2
24,92,6,3,3
25,13,1,2,2
25,13,17,2,2
25,13,9,2,2
26,91,6,3,3
26,91,6,1,
26,91,16,3,3
26,91,16,1,
27,116,4,2,2
28,90,5,2,
28,90,5,3,0
29,88,6,2,
29,88,16,2,
29,52,13,1,
29,51,13,3,3
29,89,3,3,
29,88,12,2,
29,87,18,3,
30,85,6,1,
30,86,6,2,2
30,56,7,2,
30,55,7,2,2
31,73,8,4,
31,82,8,2,
31,82,8,2,0
31,73,14,4,
31,82,10,2,0
31,82,10,2,
31,74,10,2,0
31,74,10,2,
32,28,8,1,
32,29,8,1,
32,28,13,2,0
32,29,13,1,
32,28,2,2,0
32,29,2,1,
32,28,7,2,0
32,29,7,1,
33,82,4,2,2
33,82,4,2,
33,117,14,2,2
33,117,14,2,
33,82,9,2,2
33,82,9,2,
34,82,0,2,2
34,82,0,2,
34,83,19,2,2
34,83,19,2,
34,83,15,2,2
34,83,15,2,
35,81,15,2,2
36,80,11,2,2
36,80,11,1,
39,3,0,5,
36,3,15,3,
37,1,15,2,
37,1,19,2,2
37,1,19,2,
38,3,19,2,2
38,3,19,3,
38,3,14,2,2
38,3,14,3,
39,3,4,2,2
39,3,4,3,
39,3,8,5,
40,3,10,2,2
40,3,10,3,
40,79,11,2,
40,76,11,2,0
40,76,11,2,
40,75,14,2,
41,72,11,3,3
42,71,11,2,0
42,71,11,3,
42,0,11,2,0
42,0,11,3,
43,4,5,3,0
43,4,5,4,
44,1,15,2,2
45,2,19,2,
45,3,9,2,2
45,3,9,3,
46,5,11,2,
46,68,5,2,
47,68,18,3,
47,9,1,2,0
47,9,1,1,
47,9,17,2,0
47,9,17,1,
47,68,4,3,
47,68,11,3,
47,68,0,3,
48,68,7,3,
48,6,3,2,
48,7,18,2,
48,8,12,2,0
48,8,12,1,
48,8,6,2,0
48,8,6,1,
48,8,16,2,0
48,8,16,1,
49,68,15,1,
49,68,10,3,
50,68,16,3,
50,68,9,3,
50,68,2,3,
50,68,6,3,
50,68,12,3,
50,68,3,3,
51,68,17,3,
51,68,1,3,
51,68,13,3,
52,68,19,3,
52,68,8,3,
52,68,14,3,
53,18,5,2,
53,18,6,2,
54,18,19,2,
54,18,15,2,
54,18,10,2,
55,18,18,2,
55,18,8,2,
55,18,11,2,
55,18,2,2,
55,18,3,2,
55,18,12,2,
55,18,16,2,
55,18,14,2,
55,18,7,2,
56,18,0,2,
56,18,4,2,
56,18,9,2,
56,18,17,2,
56,18,1,2,
56,18,13,2,
57,25,19,2,
57,33,17,2,
57,33,1,2,
57,63,10,2,
58,63,15,2,
59,66,5,2,
60,64,5,2,
61,64,7,2,
61,64,14,2,
61,64,9,2,
61,64,0,2,
61,64,19,2,
62,64,4,2,
62,64,2,2,
62,64,8,2,
62,64,13,2,
63,19,8,2,
63,19,4,2,0
63,19,5,2,0
64,19,0,2,
64,19,13,2,0
64,19,7,2,0
64,19,5,2,0
64,19,9,2,0
64,19,19,2,0
65,19,0,2,
65,19,2,2,0
65,19,9,2,0
65,19,4,2,0
66,19,13,2,0
66,19,7,2,0
66,19,14,2,0
66,19,2,2,0
66,19,19,2,0
67,19,14,2,0
67,70,5,3,
68,70,13,3,
68,70,1,3,
68,70,18,3,
68,70,16,3,
68,70,6,3,
68,70,12,3,
69,70,8,3,
69,70,0,3,
70,70,11,3,
70,70,3,3,
70,70,17,3,
71,70,10,2,
71,70,4,3,
72,70,15,2,
72,70,9,3,
72,70,19,3,
73,70,2,3,
73,70,7,3,
73,70,14,3,
74,69,5,3,
74,69,12,3,
75,69,18,3,
75,69,3,3,
75,69,11,3,
75,69,10,3,
75,69,1,3,
76,69,7,3,
76,69,15,3,
76,69,13,3,
77,69,9,3,
77,69,19,3,
77,69,8,3,
77,69,0,3,
78,69,16,3,
78,69,6,3,
78,69,17,3,
79,69,2,3,
79,69,4,3,
79,69,14,3,
