teacher,subject,class,per_week_first,per_week_second
26,21,15,4,
26,21,16,4,
26,21,18,4,
52,21,7,4,
52,21,8,4,
52,21,14,4,
52,21,19,4,
27,21,0,4,
27,21,1,4,
27,21,5,4,
27,21,6,4,
28,21,11,4,
28,21,12,4,
30,21,17,4,
29,21,9,4,
29,21,13,4,
29,21,20,4,
29,21,21,4,
31,21,2,4,
31,21,3,4,
31,21,4,4,
31,21,10,4,
45,22,15,4,
45,22,17,4,
45,22,18,4,
49,22,16,4,
49,22,19,4,
51,5,3,1,
51,5,5,1,
51,5,0,1,
51,5,2,1,
51,5,6,1,
51,22,5,4,
51,22,7,4,
51,22,8,4,
51,22,14,4,
47,22,11,4,
47,22,13,4,
47,22,20,4,
47,22,21,4,
48,0,7,1,
48,0,9,1,
48,0,13,1,
48,22,9,4,
48,22,10,4,
48,22,12,4,
46,22,0,4,
46,22,1,4,
46,22,3,4,
49,22,2,4,
49,22,6,4,
50,22,4,4,
