teacher,subject,class,per_week_first,per_week_second
1,1,3,1,
1,1,5,1,
1,1,4,1,
1,1,6,1,
1,1,7,1,
1,1,9,1,
1,1,10,1,
1,1,11,1,
1,1,14,1,
1,1,15,1,
1,1,12,1,
1,1,13,1,
1,1,18,1,
1,1,19,1,
1,1,21,1,
1,1,22,1,
1,1,20,1,
1,1,23,1,
1,1,27,1,
1,1,28,1,
1,1,29,1,
1,1,24,1,
1,1,25,1,
1,1,26,1,
1,1,31,1,
2,0,25,1,
2,0,28,1,
2,0,24,1,
2,0,26,1,
2,0,3,1,
2,0,5,1,
2,0,6,1,
2,0,14,1,
2,0,15,1,
2,0,18,1,
2,0,22,1,
2,0,23,1,
3,0,27,1,
3,0,30,1,
3,0,29,1,
3,0,31,1,
3,0,4,1,
3,0,7,1,
3,0,9,1,
3,0,10,1,
3,0,11,1,
3,0,12,1,
3,0,13,1,
3,0,19,1,
3,0,20,1,
3,0,21,1,
4,2,27,1,
4,2,24,1,
4,2,25,1,
4,2,26,1,
4,2,29,1,
4,2,28,1,
4,2,30,1,
4,2,31,1,
4,2,3,1,
4,2,4,1,
4,2,5,1,
4,2,6,1,
4,2,12,1,
4,2,13,1,
4,2,10,1,
4,2,11,1,
4,2,14,1,
4,2,15,1,
4,2,21,1,
4,2,18,1,
4,2,19,1,
4,2,20,1,
4,2,22,1,
4,2,23,1,
5,3,3,1,
5,3,6,1,
5,3,4,1,
5,3,7,1,
5,3,5,1,
5,7,25,1,
5,7,26,1,
5,7,27,1,
5,7,28,1,
5,7,29,1,
6,7,9,1,
6,7,22,1,
6,7,23,1,
7,14,7,1,
7,7,18,1,
7,7,19,1,
7,7,20,1,
7,7,21,1,
7,7,3,1,
7,7,4,1,
7,7,5,1,
7,7,6,1,
7,7,7,1,
8,14,4,1,
8,7,24,1,
9,14,3,1,
9,14,5,1,
9,7,10,1,
9,7,11,1,
9,7,12,1,
9,7,13,1,
9,7,14,1,
9,7,15,1,
9,7,30,1,
9,7,31,1,
10,4,18,1,
10,4,20,1,
10,4,21,1,
10,4,19,1,
10,4,22,1,
10,4,23,1,
10,8,24,1,
10,8,25,1,
10,8,26,1,
10,8,27,1,
10,8,28,1,
10,8,29,1,
10,8,30,1,
10,8,31,1,
10,8,18,1,
11,4,9,1,
11,4,11,1,
11,4,12,1,
11,4,15,1,
11,8,3,1,
11,8,4,1,
11,8,5,1,
11,8,6,1,
11,8,7,1,
11,8,9,1,
11,8,10,1,
11,8,11,1,
11,8,12,1,
11,8,13,1,
11,8,14,1,
11,8,15,1,
11,8,19,1,
11,8,20,1,
11,8,21,1,
11,8,22,1,
11,8,23,1,
12,5,10,1,
12,5,11,1,
12,5,9,1,
12,5,12,1,
12,5,13,1,
12,5,14,1,
12,5,15,1,
12,6,18,1,
12,6,20,1,
12,6,23,1,
12,9,3,1,
12,9,4,1,
12,9,5,1,
12,9,6,1,
12,9,7,1,
12,9,9,1,
12,9,10,1,
12,9,11,1,
12,9,12,1,
12,9,13,1,
12,9,14,1,
12,9,15,1,
13,6,20,1,
13,6,19,1,
13,6,22,1,
13,6,21,1,
13,9,18,1,
13,9,19,1,
13,9,20,1,
13,9,21,1,
13,9,22,1,
13,9,23,1,
13,9,24,1,
13,9,25,1,
13,9,26,1,
13,9,27,1,
13,9,28,1,
13,9,29,1,
13,9,30,1,
13,9,31,1,
14,10,10,1,
14,10,13,1,
14,10,14,1,
14,10,18,1,
14,10,19,1,
14,10,20,1,
14,10,21,1,
14,10,22,1,
14,10,23,1,
15,11,18,1,
15,11,20,1,
15,11,21,1,
15,11,22,1,
15,11,23,1,
15,10,9,1,
15,10,11,1,
15,10,12,1,
15,10,15,1,
15,10,3,1,
15,10,4,1,
15,10,5,1,
15,10,6,1,
15,10,7,1,
16,11,3,1,
16,11,4,1,
16,11,5,1,
16,11,6,1,
16,11,7,1,
16,11,19,1,
16,11,24,1,
16,11,25,1,
16,11,26,1,
16,11,27,1,
16,11,28,1,
16,11,29,1,
17,11,9,1,
17,11,10,1,
17,11,11,1,
17,11,12,1,
17,11,13,1,
17,11,14,1,
17,11,15,1,
17,11,30,1,
17,11,31,1,
18,12,9,1,
18,12,10,1,
18,12,11,1,
18,12,12,1,
18,12,13,1,
18,12,14,1,
18,12,15,1,
18,12,24,1,
18,12,25,1,
18,12,26,1,
18,12,27,1,
18,12,28,1,
18,12,29,1,
18,12,30,1,
18,12,31,1,
19,12,9,1,
19,12,10,1,
19,12,11,1,
19,12,12,1,
19,12,13,1,
19,12,14,1,
19,12,15,1,
19,12,18,1,
19,12,19,1,
19,12,20,1,
19,12,21,1,
19,12,22,1,
19,12,23,1,
19,12,26,1,
19,12,25,1,
19,12,28,1,
0,12,24,1,
0,12,29,1,
0,12,30,1,
0,12,18,1,
0,12,19,1,
0,12,20,1,
0,12,21,1,
0,12,22,1,
0,12,23,1,
20,12,24,1,
20,12,29,1,
20,12,30,1,
20,12,18,1,
20,12,19,1,
20,12,20,1,
20,12,21,1,
20,12,22,1,
20,12,23,1,
21,12,27,1,
21,12,31,1,
21,13,25,1,
22,13,9,1,
22,13,10,1,
22,13,14,1,
22,13,15,1,
22,13,20,1,
23,13,22,1,
23,13,23,1,
23,13,26,1,
23,13,28,1,
23,13,29,1,
24,13,18,1,
24,13,21,1,
24,13,19,1,
24,13,4,1,
24,13,7,1,
25,13,30,1,
25,13,31,1,
25,13,3,1,
25,13,5,1,
25,13,6,1,
26,13,24,1,
26,13,27,1,
26,13,11,1,
26,13,12,1,
26,13,13,1,
27,15,4,1,
27,15,5,1,
27,15,6,1,
27,15,7,1,
27,15,18,1,
27,15,19,1,
27,15,20,1,
27,15,21,1,
27,15,22,1,
27,15,23,1,
27,14,27,1,
27,14,29,1,
27,14,6,1,
27,14,3,1,
28,15,9,1,
28,15,10,1,
28,15,11,1,
28,15,12,1,
28,15,13,1,
28,15,14,1,
28,15,15,1,
28,15,24,1,
28,15,25,1,
28,15,26,1,
28,15,28,1,
28,15,30,1,
28,15,31,1,
29,16,6,1,
30,16,3,1,
30,16,4,1,
30,16,5,1,
30,16,7,1,
30,16,9,1,
30,16,10,1,
30,16,11,1,
30,16,12,1,
30,16,13,1,
30,16,14,1,
30,16,15,1,
30,16,18,1,
30,16,19,1,
30,16,20,1,
30,16,21,1,
30,16,22,1,
30,16,23,1,
31,17,13,1,
31,17,14,1,
31,17,15,1,
31,17,18,1,
31,17,19,1,
31,17,20,1,
31,17,21,1,
31,17,22,1,
31,17,23,1,
32,17,3,1,
32,17,4,1,
32,17,5,1,
32,17,6,1,
32,17,7,1,
32,17,9,1,
32,17,10,1,
32,17,11,1,
32,17,12,1,
33,18,3,1,
33,18,7,1,
34,18,18,1,
34,18,21,1,
34,18,23,1,
35,18,26,1,
35,18,29,1,
35,18,30,1,
36,18,10,1,
36,18,11,1,
36,18,13,1,
36,18,14,1,
37,18,12,1,
37,18,15,1,
37,18,27,1,
38,18,19,1,
38,18,20,1,
38,18,22,1,
40,18,4,1,
40,18,5,1,
40,18,6,1,
40,18,9,1,
41,18,24,1,
41,18,25,1,
41,18,28,1,
41,18,31,1,
42,19,9,1,
42,19,11,1,
42,19,15,1,
42,19,12,1,
42,19,14,1,
42,20,31,1,
43,20,24,1,
43,20,28,1,
43,20,30,1,
43,20,6,1,
43,20,7,1,
45,20,19,1,
45,20,22,1,
45,20,9,1,
45,20,10,1,
45,20,12,1,
46,20,3,1,
46,20,4,1,
46,20,5,1,
46,20,11,1,
46,20,15,1,
47,20,18,1,
47,20,20,1,
47,20,23,1,
47,20,13,1,
47,20,14,1,
