name,kinds
M6,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
M5,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
M4,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
M3,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
M2,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
M1,masinska masinska-regular masinska-sd masinska-computer masinska-14 masinska-regular-sd
Sala,sala
Sala,sala
22,regular masinska-regular masinska-regular-sd
21,regular masinska-regular masinska-regular-sd
20,regular masinska-regular masinska-regular-sd
19,regular masinska-regular masinska-regular-sd
18,regular masinska-regular masinska-regular-sd
17,regular masinska-regular masinska-regular-sd
16,regular masinska-regular masinska-regular-sd
15,regular masinska-regular masinska-regular-sd
14,computer 14 masinska-computer masinska-14 14-23 masinska-regular
13,regular masinska-regular masinska-regular-sd
12,regular masinska-regular masinska-regular-sd
11,regular masinska-regular masinska-regular-sd
10,computer masinska-computer
9,computer masinska-computer
8,computer masinska-computer
7,computer masinska-computer
6,regular masinska-regular masinska-regular-sd
5,regular masinska-regular masinska-regular-sd
4,regular masinska-regular masinska-regular-sd
3,regular masinska-regular masinska-regular-sd
2,computer masinska-computer
1,computer masinska-computer
SD,sd masinska-sd masinska-regular-sd
Sala,sala
23,computer regular masinska-regular masinska-computer masinska-regular-sd 14-23
