shift,teacher,subject,class,per_week_first,per_week_second
2,9,128,18,2,2
2,9,127,18,1,
2,12,123,18,3,3
2,12,123,18,1,
2,13,125,18,2,2
2,13,124,18,2,
2,23,102,18,2,2
2,34,119,18,2,0
2,34,118,18,1,
2,90,67,18,3,
2,56,58,18,3,
2,75,64,18,3,
2,60,59,18,2,
2,65,89,18,2,
2,68,61,18,2,
1,24,73,0,2,
1,24,5,0,1,
2,38,111,17,2,
2,38,110,28,2,0
2,38,110,27,2,0
2,38,109,28,1,
2,38,109,27,1,
2,89,67,36,3,
2,88,67,37,2,
2,91,67,35,3,
2,92,67,38,2,
2,85,66,36,2,
2,85,66,35,2,
2,82,65,36,2,0
2,81,65,36,2,0
2,81,65,35,2,0
2,80,65,35,2,0
2,74,64,36,2,
2,74,64,35,2,
2,96,64,38,2,
2,96,64,37,2,
2,69,61,38,2,
2,69,61,37,2,
2,72,63,36,2,
2,72,63,35,2,
2,61,59,38,2,
2,61,59,37,2,
2,61,59,36,2,
2,61,59,35,2,
2,55,58,37,3,
2,54,58,38,3,
2,53,58,36,3,
2,53,58,35,3,
2,49,99,36,2,2
2,49,98,36,3,
2,49,92,35,2,
2,50,97,37,2,2
2,50,96,37,1,
2,52,90,37,18,
2,43,99,35,2,
2,43,98,35,5,
2,42,95,35,2,2
2,42,94,35,3,
2,41,107,35,4,
2,33,87,36,3,
2,33,86,36,2,
2,23,34,36,3,
2,24,132,38,2,2
2,24,131,38,1,
2,23,136,38,2,2
2,23,135,38,1,
2,21,130,38,2,
2,21,129,38,1,
2,2,150,36,5,
2,2,149,38,13,
1,40,157,41,2,2
1,40,157,41,2,
1,43,168,42,2,0
1,43,167,42,3,
1,42,166,42,2,2
1,42,165,42,1,
1,42,155,41,2,2
1,42,154,41,2,
1,41,164,42,2,0
1,41,163,42,2,
1,41,162,42,2,0
1,44,161,42,3,
1,44,160,42,3,0
2,44,106,34,2,0
2,44,105,34,2,
2,44,104,34,2,0
2,44,103,34,2,
2,45,102,34,2,2
2,46,101,34,2,2
2,46,100,34,2,
2,46,97,34,2,2
2,46,96,34,1,
